method,seed,step,loss,query_base,query_new,query_hm,ema_base,ema_new,ema_hm,q_mean,q_std,q_min,q_max,gate_mean,seconds_per_step,initial_full_base,initial_full_new,initial_full_hm,final_full_base,final_full_new,final_full_hm,full_base,full_new,full_hm
raw,1,1,3.074909210205078,0.3125,0.375,0.3409090909090909,0.28460595380923814,0.35534963985594237,0.31606762777944414,,,,,,1.3497536000068067,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,2,2.49688720703125,0.25,0.3125,0.2777777777777778,0.283567775194961,0.3540641506602641,0.31491893491487677,,,,,,1.238677800000005,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,3,2.6584091186523438,0.3125,0.375,0.3409090909090909,0.2844357419391122,0.35469222614045615,0.31570249321255195,,,,,,1.1954639333319694,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,4,2.0658187866210938,0.25,0.375,0.3,0.28340266968093886,0.35530145935624247,0.31530524869123233,,,,,,1.1855404500020086,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,5,2.4823341369628906,0.3125,0.3125,0.3125,0.2842755895905107,0.3540174155755552,0.31533640106824135,,,,,,1.1757784799992805,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,6,2.8885421752929688,0.25,0.4375,0.3181818181818182,0.2832473219027954,0.3565218931082885,0.31568843593353546,,,,,,1.1683871166678728,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,7,2.017000675201416,0.3125,0.375,0.3409090909090909,0.2841249022457115,0.3570762363150398,0.31645062566483534,,,,,,1.1611467857146636,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,8,2.667713165283203,0.3125,0.3125,0.3125,0.2849761551783402,0.35573894922558863,0.31644990823746655,,,,,,1.152043562500694,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,9,2.61492919921875,0.3125,0.375,0.3409090909090909,0.28580187052299,0.356316780748821,0.3171874924830228,,,,,,1.1463073444449239,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
raw,1,10,2.2374706268310547,0.25,0.375,0.3,0.2847278144073003,0.3568772773263563,0.3167458877553391,,,,,,1.1442001300005358,0.28374325134973005,0.3547418967587035,0.3152950995790133,,,,,,
